rank,engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
37,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.5_DL3,323,93,230,28.79,-1354.07,8645.93,-13.54,17.43,-4.1922,-0.777,,0.005,2.5,2.5,14.86,37.14,3
38,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR1.75_RR2.5_DL3,348,104,244,29.89,-1486.12,8513.88,-14.86,19.09,-4.2705,-0.7785,,0.005,1.75,2.5,10.43,26.06,3
39,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL1,261,63,198,24.14,-1752.03,8247.97,-17.52,21.56,-6.7128,-0.8125,,0.005,2.25,3.0,12.84,38.54,1
40,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL1,291,106,185,36.43,-1646.01,8353.99,-16.46,20.16,-5.6564,-0.8165,,0.005,2.0,1.75,11.41,19.97,1
41,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL1,292,118,174,40.41,-1347.37,8652.63,-13.47,16.46,-4.6143,-0.8185,,0.005,2.25,1.5,12.88,19.33,1
42,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL3,318,80,238,25.16,-1512.84,8487.16,-15.13,18.22,-4.7574,-0.8302,,0.005,2.25,3.0,13.36,40.08,3
43,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL2,311,78,233,25.08,-1532.27,8467.73,-15.32,18.1,-4.9269,-0.8464,,0.005,2.25,3.0,13.24,39.71,2
44,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.0_DL3,349,118,231,33.81,-1695.61,8304.39,-16.96,19.9,-4.8585,-0.8519,,0.005,2.0,2.0,11.88,23.76,3
45,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.0_DL2,343,116,227,33.82,-1672.28,8327.72,-16.72,19.34,-4.8754,-0.8648,,0.005,2.0,2.0,11.83,23.65,2
46,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR3.0_DL3,308,74,234,24.03,-1911.47,8088.53,-19.11,21.44,-6.2061,-0.8914,,0.005,2.5,3.0,14.89,44.66,3
47,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL2,347,139,208,40.06,-1652.95,8347.05,-16.53,17.98,-4.7635,-0.9193,,0.005,2.25,1.5,13.4,20.1,2
48,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL2,350,128,222,36.57,-1818.73,8181.27,-18.19,19.64,-5.1964,-0.9262,,0.005,2.0,1.75,11.89,20.82,2
49,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL3,354,142,212,40.11,-1654.82,8345.18,-16.55,17.74,-4.6746,-0.9328,,0.005,2.25,1.5,13.49,20.24,3
50,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL3,356,130,226,36.52,-1861.94,8138.06,-18.62,19.63,-5.2302,-0.9483,,0.005,2.0,1.75,11.95,20.91,3
