engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.5_DL1,606,147,459,24.26,-9598.05,401.95,-95.98,96.21,-15.8384,-0.9976,,0.01,1.75,2.5,4.99,12.47,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.5_DL2,970,250,720,25.77,-9913.31,86.69,-99.13,99.2,-10.2199,-0.9993,,0.01,1.75,2.5,5.05,12.63,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.5_DL3,1182,304,878,25.72,-9973.34,26.66,-99.73,99.76,-8.4377,-0.9998,,0.01,1.75,2.5,4.93,12.32,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR3.0_DL1,590,128,462,21.69,-9512.3,487.7,-95.12,95.54,-16.1225,-0.9956,,0.01,1.75,3.0,5.03,15.11,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR3.0_DL2,940,212,728,22.55,-9901.66,98.34,-99.02,99.16,-10.5337,-0.9986,,0.01,1.75,3.0,5.04,15.14,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR3.0_DL3,1147,260,887,22.67,-9965.83,34.17,-99.66,99.7,-8.6886,-0.9996,,0.01,1.75,3.0,4.98,14.96,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.5_DL1,671,244,427,36.36,-9404.75,595.25,-94.05,94.58,-14.016,-0.9944,,0.01,2.0,1.5,5.86,8.79,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.5_DL2,1036,385,651,37.16,-9862.22,137.78,-98.62,98.73,-9.5195,-0.9989,,0.01,2.0,1.5,5.78,8.66,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.5_DL3,1234,460,774,37.28,-9945.25,54.75,-99.45,99.49,-8.0594,-0.9996,,0.01,2.0,1.5,5.62,8.43,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.75_DL1,653,226,427,34.61,-9149.93,850.07,-91.5,92.25,-14.0122,-0.9919,,0.01,2.0,1.75,5.87,10.28,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.75_DL2,1017,363,654,35.69,-9742.98,257.02,-97.43,97.66,-9.5801,-0.9976,,0.01,2.0,1.75,5.8,10.16,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR1.75_DL3,1210,431,779,35.62,-9887.92,112.08,-98.88,98.95,-8.1718,-0.9993,,0.01,2.0,1.75,5.68,9.94,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.0_DL1,640,203,437,31.72,-9118.08,881.92,-91.18,91.47,-14.247,-0.9969,,0.01,2.0,2.0,5.82,11.63,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.0_DL2,992,320,672,32.26,-9752.64,247.36,-97.53,97.62,-9.8313,-0.9991,,0.01,2.0,2.0,5.83,11.65,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.0_DL3,1179,376,803,31.89,-9903.62,96.38,-99.04,99.06,-8.4,-0.9997,,0.01,2.0,2.0,5.68,11.37,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.5_DL1,605,163,442,26.94,-9047.57,952.43,-90.48,91.07,-14.9547,-0.9934,,0.01,2.0,2.5,5.83,14.58,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.5_DL2,947,266,681,28.09,-9655.64,344.36,-96.56,97.13,-10.196,-0.9941,,0.01,2.0,2.5,5.91,14.78,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR2.5_DL3,1128,315,813,27.93,-9849.66,150.34,-98.5,98.67,-8.732,-0.9982,,0.01,2.0,2.5,5.78,14.45,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR3.0_DL1,587,146,441,24.87,-8660.95,1339.05,-86.61,87.81,-14.7546,-0.9863,,0.01,2.0,3.0,5.74,17.22,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR3.0_DL2,897,219,678,24.41,-9621.53,378.47,-96.22,96.68,-10.7263,-0.9952,,0.01,2.0,3.0,5.89,17.68,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.0_RR3.0_DL3,1060,260,800,24.53,-9805.13,194.87,-98.05,98.32,-9.2501,-0.9973,,0.01,2.0,3.0,5.8,17.41,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.5_DL1,664,253,411,38.1,-8949.14,1050.86,-89.49,90.38,-13.4776,-0.9902,,0.01,2.25,1.5,6.63,9.94,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.5_DL2,1018,393,625,38.61,-9677.38,322.62,-96.77,96.98,-9.5063,-0.9978,,0.01,2.25,1.5,6.59,9.89,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.5_DL3,1186,466,720,39.29,-9791.59,208.41,-97.92,98.03,-8.256,-0.9988,,0.01,2.25,1.5,6.48,9.72,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.75_DL1,648,231,417,35.65,-8674.36,1325.64,-86.74,87.07,-13.3864,-0.9962,,0.01,2.25,1.75,6.59,11.54,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.75_DL2,999,361,638,36.14,-9539.71,460.29,-95.4,95.62,-9.5493,-0.9977,,0.01,2.25,1.75,6.59,11.54,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR1.75_DL3,1157,421,736,36.39,-9714.04,285.96,-97.14,97.27,-8.3959,-0.9987,,0.01,2.25,1.75,6.49,11.35,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.0_DL1,620,191,429,30.81,-8982.27,1017.73,-89.82,90.28,-14.4875,-0.9949,,0.01,2.25,2.0,6.59,13.19,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.0_DL2,972,314,658,32.3,-9600.63,399.37,-96.01,96.51,-9.8772,-0.9948,,0.01,2.25,2.0,6.67,13.34,2
