engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR3.0_DL3,47476,26,1330,0.05,-10027.1,-27.1,-100.27,100.27,-0.2112,-1.0,,0.01,1.75,3.0,10.86,32.6,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.5_DL1,144729,1659,15988,1.15,-123012.48,-113012.48,-1230.12,1230.13,-0.85,-1.0,,0.01,2.0,1.5,5.81,8.73,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.5_DL2,66689,270,2632,0.4,-10073.69,-73.69,-100.74,100.74,-0.1511,-1.0,,0.01,2.0,1.5,9.91,14.87,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.5_DL3,52463,100,868,0.19,-9993.41,6.59,-99.93,99.94,-0.1905,-1.0,,0.01,2.0,1.5,12.81,19.22,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.75_DL1,147622,1035,16428,0.7,-82893.96,-72893.96,-828.94,828.94,-0.5615,-1.0,,0.01,2.0,1.75,6.06,10.61,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.75_DL2,67327,196,2689,0.29,-10080.96,-80.96,-100.81,100.81,-0.1497,-1.0,,0.01,2.0,1.75,10.01,17.51,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR1.75_DL3,53828,79,942,0.15,-10001.27,-1.27,-100.01,100.01,-0.1858,-1.0,,0.01,2.0,1.75,12.86,22.5,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.0_DL1,149953,678,15377,0.45,-17814.35,-7814.35,-178.14,178.15,-0.1188,-1.0,,0.01,2.0,2.0,5.97,11.95,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.0_DL2,67862,146,2694,0.22,-10086.47,-86.47,-100.86,100.87,-0.1486,-1.0,,0.01,2.0,2.0,10.05,20.1,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.0_DL3,55713,55,935,0.1,-10002.62,-2.62,-100.03,100.03,-0.1795,-1.0,,0.01,2.0,2.0,13.96,27.93,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.5_DL1,152915,427,17001,0.28,-31369.26,-21369.26,-313.69,313.69,-0.2051,-1.0,,0.01,2.0,2.5,5.94,14.85,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.5_DL2,71258,80,2701,0.11,-10091.85,-91.85,-100.92,100.92,-0.1416,-1.0,,0.01,2.0,2.5,10.36,25.88,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR2.5_DL3,56757,33,943,0.06,-10005.59,-5.59,-100.06,100.06,-0.1763,-1.0,,0.01,2.0,2.5,13.88,34.71,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR3.0_DL1,153193,266,16542,0.17,-35953.71,-25953.71,-359.54,359.54,-0.2347,-1.0,,0.01,2.0,3.0,6.01,18.05,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR3.0_DL2,72850,53,2704,0.07,-10096.74,-96.74,-100.97,100.97,-0.1386,-1.0,,0.01,2.0,3.0,10.47,31.41,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.0_RR3.0_DL3,58711,16,944,0.03,-10008.38,-8.38,-100.08,100.08,-0.1705,-1.0,,0.01,2.0,3.0,13.92,41.78,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR2.25_RR1.5_DL1,143234,1407,14243,0.98,-98989.47,-88989.47,-989.89,989.9,-0.6911,-1.0,,0.01,2.25,1.5,6.8,10.21,1
